label,n_total,n_ok,n_mr,wins,losses,wr,mean_roi,median_roi,mean_ep,breakeven_wr,vs_breakeven,mean_clv,mean_conf,confidence_label,proof_eligible_n,legacy_pct,proof_mix,note
src:MARKET_RESOLVED,38,38,38,24,14,0.6316,-0.1584,0.275,0.6066,0.6066,0.025,-0.0483,0.7294,moderate research signal,3,0.447,"{""LEGACY_OR_INCOMPLETE"": 17, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 10, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 8, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 3}",
src:FORCED_TIME_EXIT,13,13,0,3,10,0.2308,-0.0155,-0.03,0.6209,0.6209,-0.3902,-0.0441,0.7144,weak exploratory,1,0.385,"{""LEGACY_OR_INCOMPLETE"": 5, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 5, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 2, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 1}",
src:ALL_OUTCOME_KNOWN,51,51,38,27,24,0.5294,-0.122,0.12,0.6102,0.6102,-0.0808,-0.047,0.7256,moderate research signal,4,0.431,"{""LEGACY_OR_INCOMPLETE"": 22, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 15, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 10, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 4}",
prefix:BTC15M,2,2,2,1,1,0.5,-0.405,-0.405,0.705,0.705,-0.205,-0.205,0.769,useless/anecdotal,0,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 1, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 1}",
prefix:DOGE,1,1,0,0,1,0.0,-0.27,-0.27,0.64,0.64,-0.64,-0.27,0.712,useless/anecdotal,0,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 1}",
prefix:ETH15M,3,3,3,1,2,0.3333,-0.55,-1.0,0.5233,0.5233,-0.19,-0.19,0.6473,useless/anecdotal,0,0.333,"{""LEGACY_OR_INCOMPLETE"": 1, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 2}",
prefix:KXBTCD,24,24,22,18,6,0.75,-0.0163,0.285,0.6637,0.6637,0.0863,0.0741,0.7325,weak exploratory,4,0.333,"{""LEGACY_OR_INCOMPLETE"": 8, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 7, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 5, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 4}",
prefix:KXETHD,7,7,4,4,3,0.5714,0.0071,0.15,0.6986,0.6986,-0.1271,-0.26,0.7569,very weak,0,0.571,"{""LEGACY_OR_INCOMPLETE"": 4, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 2, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 1}",
prefix:OTHER,11,11,5,2,9,0.1818,-0.2228,-0.03,0.4665,0.4665,-0.2847,-0.1202,0.6737,weak exploratory,0,0.636,"{""LEGACY_OR_INCOMPLETE"": 7, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 3, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 1}",
prefix:SOL,1,1,0,0,1,0.0,-0.06,-0.06,0.82,0.82,-0.82,-0.06,0.865,useless/anecdotal,0,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 1}",
prefix:XRP,2,2,2,1,1,0.5,-0.32,-0.32,0.365,0.365,0.135,,0.83,useless/anecdotal,0,1.0,"{""LEGACY_OR_INCOMPLETE"": 2}",
proof:BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL,4,4,3,3,1,0.75,-0.035,0.23,0.6425,0.6425,0.1075,0.03,0.7325,useless/anecdotal,4,0.0,"{""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 4}",
proof:BOOTSTRAP_PROVISIONAL_EXCLUDED,10,10,8,4,6,0.4,-0.278,-0.04,0.637,0.637,-0.237,-0.121,0.7113,weak exploratory,0,0.0,"{""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 10}",
proof:DATA_COLLECTION_OVERRIDE_EXCLUDED,15,15,10,7,8,0.4667,-0.0987,-0.02,0.7007,0.7007,-0.234,-0.0313,0.7635,weak exploratory,0,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 15}",
proof:LEGACY_OR_INCOMPLETE,22,22,17,13,9,0.5909,-0.0828,0.23,0.5305,0.5305,0.0604,0.0022,0.705,weak exploratory,0,1.0,"{""LEGACY_OR_INCOMPLETE"": 22}",
ep:<0.35,5,5,4,0,5,0.0,-0.8022,-1.0,0.1244,0.1244,-0.1244,-0.1705,0.7066,very weak,0,1.0,"{""LEGACY_OR_INCOMPLETE"": 5}",
ep:0.55-0.65,24,24,16,13,11,0.5417,0.0117,0.22,0.6088,0.6088,-0.0671,0.0006,0.675,weak exploratory,3,0.333,"{""LEGACY_OR_INCOMPLETE"": 8, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 6, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 7, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 3}",
ep:0.65-0.75,15,15,13,9,6,0.6,-0.226,0.15,0.684,0.684,-0.084,-0.3533,0.7519,weak exploratory,1,0.6,"{""LEGACY_OR_INCOMPLETE"": 9, ""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 3, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 2, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 1}",
ep:>0.75,7,7,5,5,2,0.7143,0.1286,0.19,0.8043,0.8043,-0.09,0.1286,0.856,very weak,0,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 6, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 1}",
mp:0.60-0.70,11,11,8,4,7,0.3636,-0.2273,-0.03,0.5955,0.5955,-0.2318,-0.0782,0.6747,weak exploratory,1,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 4, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 6, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 1}",model_probability present for modern rows only (n=27 outcome-known)
mp:0.70-0.80,10,10,7,5,5,0.5,-0.18,0.025,0.653,0.653,-0.153,-0.086,0.7252,weak exploratory,2,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 5, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 3, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 2}",model_probability present for modern rows only (n=27 outcome-known)
mp:0.80-0.90,7,7,5,4,3,0.5714,-0.0314,0.19,0.7843,0.7843,-0.2129,0.0057,0.8429,very weak,1,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 5, ""BOOTSTRAP_PROVISIONAL_EXCLUDED"": 1, ""BOOTSTRAP_ERA_ALLOW_COUNTS_NORMAL"": 1}",model_probability present for modern rows only (n=27 outcome-known)
mp:>0.90,1,1,1,1,0,1.0,0.12,0.12,0.88,0.88,0.12,0.12,0.922,useless/anecdotal,0,0.0,"{""DATA_COLLECTION_OVERRIDE_EXCLUDED"": 1}",model_probability present for modern rows only (n=27 outcome-known)
